"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"172","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"MBT",NA,"M48A5","309"
"173","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"LT TK",NA,"M-24 Chaffee (90mm gun)","275"
"174","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"LT TK",NA,"M-41/Type-64","675"
"175","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC(T)",NA,"M-2 half-track","40"
"176","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC(T)",NA,"M113","650"
"177","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC","APC (W)","LAV-150 Commando","300"
"178","taiwan","1991","army",NA,"artillery",NA,"TOWED","105mm","T-64 (M101)","650"
"179","taiwan","1991","army",NA,"artillery",NA,"TOWED","155mm","M-59","90"
"180","taiwan","1991","army",NA,"artillery",NA,"TOWED","155mm","T-65 (M114)","250"
"181","taiwan","1991","army",NA,"artillery",NA,"TOWED","203mm","M115","70"
"182","taiwan","1991","army",NA,"artillery",NA,"SP","105mm","M108","100"
"183","taiwan","1991","army",NA,"artillery",NA,"SP","155mm","T-69","45"
"184","taiwan","1991","army",NA,"artillery",NA,"SP","155mm","M109A2/A5","110"
"185","taiwan","1991","army",NA,"artillery",NA,"SP","203mm","M110","60"
"186","taiwan","1991","army",NA,"anti-tank/anti-infrastructure","RCL",NA,"106mm","M40A1/Type 51","500"
"187","taiwan","1991","army",NA,"artillery","GUNS",NA,"76mm","M-18 SP","150"
"188","taiwan","1991","army",NA,"artillery","GUNS",NA,"40mm","M-42 SP, Bofors","400"
"189","taiwan","1991","army",NA,"aircraft",NA,"UTL",NA,"O-1","20"
"190","taiwan","1991","navy",NA,"submarines",NA,"SSK","tactical","Hai Lung","2"
"191","taiwan","1991","navy",NA,"submarines",NA,"SSK","tactical","Hai Shih","2"
"192","taiwan","1991","navy",NA,"principal surface combatants","destroyers","DD",NA,"Po Yang","6"
"193","taiwan","1991","navy",NA,"principal surface combatants","destroyers","DD",NA,"Kun Yangg","4"
"194","taiwan","1991","navy",NA,"principal surface combatants","frigates","FF",NA,"Tai Yuan","1"
"195","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Lung Chiang","2"
"196","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Hai Ou","50"
"197","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Ping Jin","3"
"198","taiwan","1991","navy",NA,"mine warfare",NA,"MSC",NA,"Yung Chou","8"
"199","taiwan","1991","navy",NA,"amphibious",NA,"LCC",NA,"Kao Hsiung","1"
"200","taiwan","1991","navy",NA,"amphibious","landing ships","LSM",NA,"Mei Lo","4"
"201","taiwan","1991","navy","naval aviation","aircraft",NA,"MR",NA,"S-2E Tracker","25"
"202","taiwan","1991","navy","naval aviation","aircraft",NA,"MR",NA,"S-2G Tracker","7"
"203","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-5B","8"
"204","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-5F","55"
"205","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-104D/DJ","8"
"206","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"TF-104G","33"
"207","taiwan","1991","air force",NA,"aircraft",NA,"RECCE",NA,"RF-104G","3"
"208","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"HU-16B","8"
"209","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"S-70","12"
"210","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"UH-1H","12"
"211","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-47","8"
"212","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-54","2"
"213","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-118B","1"
"214","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"DC-6B","1"
"215","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-123B/K","10"
"216","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-130H Hercules","12"
"217","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"Beech 1900","12"
"218","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"B-707-720B","1"
"219","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"B-727-100","4"
"220","taiwan","1991","air force",NA,"helicopters",NA,"SPT",NA,"CH-34","5"
"221","taiwan","1991","air force",NA,"helicopters",NA,"UTL",NA,"S-62A (VIP)","1"
"222","taiwan","1991","air force",NA,"aircraft",NA,"TRG",NA,"AT-3A/B Tzu-Chung","60"
"223","taiwan","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-33A","30"
"224","taiwan","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-34C Turbo Mentor","42"
"225","thailand","1990","navy","naval aviation","helicopters",NA,"UTL",NA,"Bell 212","8"
"226","thailand","1990","navy","naval aviation","helicopters",NA,"UTL",NA,"Bell 212","8"
"227","turkey","1990","army",NA,"artillery",NA,"SP","107mm","M-30","1250"
"228","turkey","1990","army",NA,"artillery",NA,"SP","107mm","M-30","1250"
"229","india","1991","air force",NA,"aircraft",NA,"TPT",NA,"BAe-748","16"
"230","india","1991","air force",NA,"aircraft",NA,"TPT",NA,"BAe-748","16"
"231","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"MBT",NA,"M48A5","309"
"232","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"LT TK",NA,"M-24 Chaffee (90mm gun)","275"
"233","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"LT TK",NA,"M-41/Type-64","675"
"234","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC(T)",NA,"M-2 half-track","40"
"235","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC(T)",NA,"M113","650"
"236","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC","APC (W)","LAV-150 Commando","300"
"237","taiwan","1991","army",NA,"artillery",NA,"TOWED","105mm","T-64 (M101)","650"
"238","taiwan","1991","army",NA,"artillery",NA,"TOWED","155mm","M-59","90"
"239","taiwan","1991","army",NA,"artillery",NA,"TOWED","155mm","T-65 (M114)","250"
"240","taiwan","1991","army",NA,"artillery",NA,"TOWED","203mm","M115","70"
"241","taiwan","1991","army",NA,"artillery",NA,"SP","105mm","M108","100"
"242","taiwan","1991","army",NA,"artillery",NA,"SP","155mm","T-69","45"
"243","taiwan","1991","army",NA,"artillery",NA,"SP","155mm","M109A2/A5","110"
"244","taiwan","1991","army",NA,"artillery",NA,"SP","203mm","M110","60"
"245","taiwan","1991","army",NA,"anti-tank/anti-infrastructure","RCL",NA,"106mm","M40A1/Type 51","500"
"246","taiwan","1991","army",NA,"artillery","GUNS",NA,"76mm","M-18 SP","150"
"247","taiwan","1991","army",NA,"artillery","GUNS",NA,"40mm","M-42 SP, Bofors","400"
"248","taiwan","1991","army",NA,"aircraft",NA,"UTL",NA,"O-1","20"
"249","taiwan","1991","navy",NA,"submarines",NA,"SSK","tactical","Hai Lung","2"
"250","taiwan","1991","navy",NA,"submarines",NA,"SSK","tactical","Hai Shih","2"
"251","taiwan","1991","navy",NA,"principal surface combatants","destroyers","DD",NA,"Po Yang","6"
"252","taiwan","1991","navy",NA,"principal surface combatants","destroyers","DD",NA,"Kun Yangg","4"
"253","taiwan","1991","navy",NA,"principal surface combatants","frigates","FF",NA,"Tai Yuan","1"
"254","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Lung Chiang","2"
"255","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Hai Ou","50"
"256","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Ping Jin","3"
"257","taiwan","1991","navy",NA,"mine warfare",NA,"MSC",NA,"Yung Chou","8"
"258","taiwan","1991","navy",NA,"amphibious",NA,"LCC",NA,"Kao Hsiung","1"
"259","taiwan","1991","navy",NA,"amphibious","landing ships","LSM",NA,"Mei Lo","4"
"260","taiwan","1991","navy","naval aviation","aircraft",NA,"MR",NA,"S-2E Tracker","25"
"261","taiwan","1991","navy","naval aviation","aircraft",NA,"MR",NA,"S-2G Tracker","7"
"262","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-5B","8"
"263","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-5F","55"
"264","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-104D/DJ","8"
"265","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"TF-104G","33"
"266","taiwan","1991","air force",NA,"aircraft",NA,"RECCE",NA,"RF-104G","3"
"267","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"HU-16B","8"
"268","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"S-70","12"
"269","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"UH-1H","12"
"270","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-47","8"
"271","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-54","2"
"272","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-118B","1"
"273","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"DC-6B","1"
"274","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-123B/K","10"
"275","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-130H Hercules","12"
"276","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"Beech 1900","12"
"277","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"B-707-720B","1"
"278","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"B-727-100","4"
"279","taiwan","1991","air force",NA,"helicopters",NA,"SPT",NA,"CH-34","5"
"280","taiwan","1991","air force",NA,"helicopters",NA,"UTL",NA,"S-62A (VIP)","1"
