"","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name"
"164","radars","land-based systems","EW",NA,"BPS-1000"
"165","radars","space-based systems","EW",NA,"AN/TPQ-36 Firefinder"
"166","radars","land-based systems","SURV",NA,"Green Archer"
"167","radars","space-based systems","COMMS",NA,"Spainsat"
"168","radars","space-based systems","COMMS",NA,"Xtar-Eur"
"169","radars","land-based systems","AIRBORNE",NA,"Sentinel RMK1"
"170","radars","land-based systems","SURV",NA,"Cymbeline"
"171","radars","space-based systems","EW",NA,"Cobra"
"172","radars","space-based systems","EW",NA,"MAMBA"
"173","radars","land-based systems","EW",NA,"MSTAR"
"174","radars","space-based systems","ISR",NA,"Improved Crystal"
"175","radars","space-based systems","ELINT/SIGINT",NA,"Orion"
"176","radars","space-based systems","ELINT/SIGINT",NA,"Trumpet"
"177","radars","space-based systems","ELINT/SIGINT",NA,NA
"178","radars","space-based systems","EORSAT",NA,NA
"179","radars","space-based systems","Nuclear Detonation Detection",NA,NA
"180","radars","space-based systems","north warning system",NA,"short-range"
"181","radars","space-based systems","OTH-B",NA,"AN/FPS-118"
"182","radars","space-based systems","spacetrack system",NA,"Spacetrack Optical Tracker"
"183","radars","land-based systems","detection and tracking radars",NA,NA
"184","radars","land-based systems","ground based electro optical deep space surveillance system (GEODSS)",NA,NA
"185","radars","land-based systems","aegis cruisers and destroyers",NA,NA
"186","radars","land-based systems","ground-based interceptors",NA,NA
"187","radars","space-based systems","EW",NA,"AN/TRQ-32 Teammate (COMINT)"
"188","radars","space-based systems","EW",NA,"AN/TSQ-138 Trailblazer (COMINT)"
"189","radars","space-based systems","EW",NA,"AN/TSQ-138A Trailblazer"
"190","radars","space-based systems","EW",NA,"AN-TLQ-17A"
"191","radars","space-based systems","EW",NA,"Guardrail"
"192","radars","space-based systems","EW",NA,"EO-5ARL"
"193","radars","space-based systems","EW",NA,"OV/RV-1D"
"194","radars","space-based systems","EW",NA,"Optus C1"
"195","radars","space-based systems","EW",NA,"LCMR"
"196","radars","land-based systems","TAC",NA,NA
"197","radars","land-based systems","TAC",NA,"AN/TPS-77"
"198","radars","space-based systems","EW",NA,"Flycatcher"
"199","radars","space-based systems","COMMS",NA,"Mexsat"
"200","radars","space-based systems","EW",NA,"Blindfire"
"201","radars","space-based systems","ELINT",NA,NA
"202","radars","land-based systems","RECCE",NA,NA
"203","radars",NA,"air defence",NA,NA
"204","radars","land-based systems","Phased Array Radar","strategic",NA
"205","radars",NA,"ABM",NA,"ABM-1B Galosh, SH-11, SH-08 Gazelle"
"206","radars","space-based systems","COMMS",NA,"Mod Globus (Raduga- lM)"
"207","radars","space-based systems","COMMS",NA,"Strela"
"208","radars","space-based systems","COMMS",NA,"Rodnik (Gonets-M)"
"209","radars","space-based systems","COMMS",NA,"Meridian"
"210","radars","space-based systems","COMMS",NA,"Geizer (Potok)"
"211","radars","space-based systems","COMMS",NA,"Globus (Raduga-1)"
"212","radars","space-based systems","navigation/positioning/timing",NA,"GLONASS"
"213","radars","space-based systems","ISR",NA,"Kobalt M"
"214","radars","space-based systems","ELINT/SIGINT",NA,"Kondor"
"215","radars","space-based systems","ELINT/SIGINT",NA,"Liana (Lotos-S)"
"216","radars","space-based systems","ELINT/SIGINT",NA,"Persona"
"217","radars","space-based systems","ELINT/SIGINT",NA,"Tselina-2"
"218","radars","space-based systems","EW",NA,"Oko"
"219","radars","land-based systems","EW",NA,"Land"
"220","radars","land-based systems","early warning",NA,"GS-13 Long Eye"
"221","radars","space-based systems","EW",NA,"SNAR-1 Long Trough"
"222","radars","space-based systems","EW",NA,"SNAR-10 Big Fred"
"223","radars","space-based systems","EW",NA,"SNAR-2/-6 Pork Trough"
"224","radars","land-based systems","early warning",NA,"Small Fred/Small Yawn"
"225","radars","space-based systems","EW",NA,"Sapphire"
"226","radars","space-based systems","north warning system","short-range",NA
"227","radars","land-based systems","search, surveillance, target acquisition",NA,"Long Trough (SNAR-1)"
"228","radars","land-based systems","fire control",NA,"Pork Trough"
"229","radars","land-based systems","early warning",NA,"Big Fred"
"230","radars","space-based systems","COMMS",NA,"Syracuse-3"
"231","radars","space-based systems","ISR",NA,"Helios (1A/2A/2B)"
"232","radars","space-based systems","ISR",NA,"Pleiades"
"233","radars","space-based systems","EW",NA,"Spirale"
"234","radars","space-based systems","EW",NA,"RASIT/RATAC"
"235","radars","land-based systems","search, surveillance, target acquisition",NA,"RATAC"
"236","radars","land-based systems","SURV",NA,"Cobra"
"237","radars","land-based systems","SYSTEMS",NA,"STRIDA"
"238","radars","space-based systems","imagery",NA,"Helios-2A (Creil)"
"239","radars","space-based systems","EW",NA,"Helios"
"240","radars","space-based systems","COMMS",NA,"COMSATBw"
"241","radars","space-based systems","ISR",NA,"SAR-Lupe"
"242","radars","land-based systems","EW",NA,"LUR"
"243","radars","land-based systems","EW",NA,"NBR"
"244","radars","space-based systems","EW",NA,"AN/TPQ-37(V)3"
"245","radars","space-based systems","EW",NA,"BOR-A"
"246","radars","space-based systems","EW",NA,"MARGOT"
"247","radars","land-based systems","SURV",NA,"PSZNR-5B"
"248","radars","land-based systems","SURV",NA,"SZNAR-10"
"249","radars",NA,"early warning",NA,"GS-13 Long Eye"
"250","radars",NA,"search, surveillance, target acquisition",NA,"Long Trough (SNAR-1)"
"251","radars",NA,"fire control",NA,"Pork Trough"
"252","radars",NA,"early warning",NA,"Small Fred/Small Yawn"
"253","radars",NA,"early warning",NA,"Big Fred"
"254","radars","space-based systems","COMMS",NA,"Sicral"
"255","radars","space-based systems","imagery",NA,"Cosmo (Skymed)"
"256","radars","space-based systems","EW",NA,"WALS"
"257","radars","space-based systems","EW",NA,"Squire"
"258","radars","space-based systems","EW",NA,"LIWIEC"
"259","radars","land-based systems","SURV",NA,"L219/200 PARK-1"
"260","radars","land-based systems","SURV",NA,"Small Fred/Big Fred"
"261","radars","land-based systems","SURV",NA,"An-30"
"262","radars","space-based systems","EW",NA,"AN/TPQ-36 Firefinder/AN/TPW-37 Firefinder"
"263","radars","space-based systems","north warning system",NA,"AN/FPS-117"
"264","radars",NA,"air defence",NA,"AN/TPS-59"
"265","radars",NA,"air defence",NA,"AN/TPS-63"
"266","radars",NA,"air defence",NA,"AN/TPS-70"
"267","radars","space-based systems","ISR",NA,"Gokturk-2"
"268","radars","space-based systems","COMMS",NA,"Yahsat"
"269","radars","space-based systems","ISR",NA,"SSOT"
"270","radars","space-based systems","EW",NA,"GS-13 Long Eye/SNAR-1 Long Trough/SNAR-2/-6 Pork Trough"
"271","radars","space-based systems","EW",NA,"Small Fred/Small Yawn/SNAR-10 Big Fred"
"272","radars","land-based systems","EW",NA,"SABER M60"
"273","radars","space-based systems","EW",NA,"PARK-1"
"274","radars","space-based systems","EW",NA,"SNAR-2 Pork Trough"
"275","radars","space-based systems","EW",NA,"SNAR-6 Pork Trough"
"276","radars","land-based systems","EW",NA,"FPS-117"
"277","radars","land-based systems","EW",NA,"S-600"
"278","radars","land-based systems","EW",NA,"PRV-11"
"279","radars","space-based systems","EW",NA,"ESR 220 Kameelperd"
"280","radars","space-based systems","EW",NA,"Thales Page"
"281","radars","long-range",NA,"long-range",NA
"282","radars","space-based systems","COMMS",NA,"Zhongxing"
"283","radars","space-based systems","navigation/positioning/timing",NA,"Beidou-1"
"284","radars","space-based systems","navigation/positioning/timing",NA,"Beidou-2(M)"
"285","radars","space-based systems","navigation/positioning/timing",NA,"Beidou-2(G)"
"286","radars","space-based systems","navigation/positioning/timing",NA,"Beidou-2 (IGSO)"
"287","radars","space-based systems","ISR",NA,"Haiyang 2A"
"288","radars","space-based systems","ISR",NA,"Yaogan Weixing"
"289","radars","space-based systems","ISR",NA,"Zhangguo Ziyuan"
"290","radars","space-based systems","ELINT/SIGINT",NA,"Shijian 6"
"291","radars","space-based systems","ELINT/SIGINT",NA,"Shijian 11"
"292","radars","space-based systems","EW",NA,"Cheetah"
"293","radars","space-based systems","EW",NA,"Type-378"
"294","radars","space-based systems","EW",NA,"Amos"
"295","radars","space-based systems","ISR",NA,"Ofeq (5, 7 and 9)"
"296","radars","space-based systems","ISR",NA,"TecSAR-1 (Polaris)"
"297","radars","space-based systems","EW",NA,"SNAR-1 Long Trough/SNAR-2/-6 Pork Trough"
"298","radars","space-based systems","EW",NA,"Hi level"
"299","radars","space-based systems","EW",NA,"FPS-89/100"
"300","radars","space-based systems","EW",NA,"Condor"
"301","radars","space-based systems","EW",NA,"Type-514"
"302","radars","land-based systems","TPS-43G",NA,"Type-514"
"303","radars","space-based systems","EW",NA,"AR-1"
"304","radars","land-based systems","MPDR",NA,"MPDR/MPDR 60 MPDR 90"
"305","radars","space-based systems","EW",NA,"sector op centres"
"306","radars","space-based systems","EW",NA,"control and reporting centres"
"307","radars","space-based systems","COMMS",NA,"GSAT"
"308","radars","space-based systems","ISR",NA,"Cartosat 2A"
"309","radars","space-based systems","ISR",NA,"RISAT"
"310","radars","space-based systems","ISR",NA,"RISAT-2"
"311","radars","space-based systems","ISR",NA,"IGS 1/3/4/5"
"312","radars",NA,"satellites",NA,NA
"313","radars","space-based systems","ELINT/SIGINT",NA,"Mentor (advanced Orion)"
"314","radars","space-based systems","ELINT/SIGINT",NA,"Advanced Mentor"
"315","radars","space-based systems","EW",NA,"ARK-1"
"316","radars","land-based systems","EW",NA,"TPQ-37 Firefinder"
"317","radars","space-based systems","meteorology/oceanography",NA,"GFO"
"318","radars","space-based systems","meteorology/oceanography",NA,"DMSP-5"
"319","radars","space-based systems","ELINT/SIGINT",NA,"Mercury"
"320","radars","space-based systems","ELINT/SIGINT",NA,"SBWASS"
"321","radars","space-based systems","ELINT/SIGINT",NA,"Naval Ocean Surveillance System"
"322","radars","space-based systems","ISR","medium","Sperwer"
"323","radars","space-based systems","COMMS",NA,"NATO-4B"
"324","radars","space-based systems","COMMS",NA,"Skynet-4"
"325","radars","space-based systems","COMMS",NA,"Skynet-5"
"326","radars","space-based systems","navigation/positioning/timing",NA,"NAVSTAR Block I/II/IIA"
"327","radars","space-based systems","navigation/positioning/timing",NA,"NAVSTAR Block IIR"
"328","radars","space-based systems","EW",NA,"SLC-2"
"329","radars","space-based systems","ISR",NA,"Rocsat-2"
"330","radars","space-based systems","COMMS",NA,"AEHF"
"331","radars","space-based systems","COMMS",NA,"DSCS-III"
"332","radars","space-based systems","COMMS",NA,"Milstar-I"
"333","radars","space-based systems","COMMS",NA,"Milstar-II"
"334","radars","space-based systems","COMMS",NA,"PAN-1 (P360)"
"335","radars","space-based systems","COMMS",NA,"SDS-III"
"336","radars","space-based systems","COMMS",NA,"UFO"
"337","radars","space-based systems","COMMS",NA,"WGS SV2"
"338","radars","space-based systems","ISR",NA,"FIA Radar"
"339","radars","space-based systems","ISR",NA,"ORS-1"
"340","radars","space-based systems","ISR",NA,"TacSat-3"
"341","radars","space-based systems","ISR",NA,"TacSat-4"
"342","radars","space-based systems","ELINT/SIGINT",NA,"Trumpet-2"
"343","radars","space-based systems","EW",NA,"SBSS"
"344","radars","space-based systems","EW",NA,"SBIRS Geo-1"
"345","radars","space-based systems","COMMS",NA,"MUOS"
"346","radars","space-based systems","navigation/positioning/timing",NA,"NAVSTAR Block II/IIA"
"347","radars","space-based systems","navigation/positioning/timing",NA,"NAVSTAR Block IIF"
"348","radars","space-based systems","EW",NA,"transportable"
"349","radars","space-based systems","ISR",NA,"Helios (2A/2B)"
"350","radars","space-based systems","navigation/positioning/timing",NA,"NAVSTAR Block IIR/IIRM"
"351","radars","space-based systems","ISR",NA,"Evolved Enhanced/Improved Crystal"
"352","radars","missiles","SAM-associated short-range","TOWED","THAAD"
"353","radars","space-based systems","EW",NA,"track"
"354","radars","land-based systems","PAVE PAWS",NA,"phased array radar"
"355","radars","space-based systems","ISR",NA,"TacSat-6"
"356","radars","space-based systems","EW",NA,"GSSAP"
"357","radars","space-based systems","north warning system",NA,"AN/FPS-124"
"358","radars","land-based systems","SSPARS",NA,"AN/FPS-123"
"359","radars","land-based systems","SSPARS",NA,"AN/FPS-132"
"360","radars","space-based systems","spacetrack system",NA,"AN/FPS-85"
"361","radars","space-based systems","spacetrack system",NA,"contributing radar"
"362","radars","land-based systems","PARCS",NA,"AN/FPQ-16"
"363","radars","space-based systems","ELINT/SIGINT",NA,"NRO L-67"
"364","radars","space-based systems","ELINT/SIGINT",NA,"Improved Trumpet"
"365","radars","space-based systems","EW",NA,"AN/TPQ-53"
"366","radars","space-based systems","EW",NA,"AN/MLQ-40 Prophet"
"367","radars","space-based systems","EW",NA,"AN/MLQ-44 Prophet Enhanced"
