"","iiss_platform_abbrev","iiss_platform_name","original"
"443","MP/SURV",NA,NA
"444","MP/SURVEY",NA,NA
"445","MPA","maritime patrol aircraft",1
"446","MPDR",NA,NA
"447","MR","maritime reconnaissance or motor rifle",1
"448","MR/ASW",NA,NA
"449","MR/ATK",NA,NA
"450","MR/COIN",NA,NA
"451","MR/ECM",NA,NA
"452","MR/EW",NA,NA
"453","MR/MP",NA,NA
"454","MR/SAR",NA,NA
"455","MR/TPT",NA,NA
"456","MRAP","mine-resistant ambush-protected",1
"457","MRBM","medium-range ballistic-missile",1
"458","MRH","multi-role helicopter",1
"459","MRH/ISR",NA,NA
"460","MRH/TPT",NA,NA
"461","MRL/MOR",NA,NA
"462","MRV","multiple re-entry vehicle",1
"463","MS","mine sweeper",1
"464","MSA","mine sweeper auxiliary",1
"465","MSC","mine sweeper coastal or military sealift command",1
"466","MSD","mine sweeper drone",1
"467","MSI","mine sweeper inshore",1
"468","MSL",NA,NA
"469","MSO","mine sweeper ocean",1
"470","MSR","mine sweeper riverine",1
"471","MTB","Motor torpedo boat",1
"472","MW","mine warfare",1
"473","NAV SPASUR",NA,NA
"474","naval ship asset",NA,NA
"475","navigation/positioning/timing",NA,NA
"476","NDS",NA,NA
"477","North Atlantic Defence System",NA,NA
"478","north warning system",NA,NA
"479","NSTR",NA,NA
"480","Nuclear Detonation Detection",NA,NA
"481","OBS",NA,NA
"482","OCU","Operational Conversion Unit",1
"483","OPDS",NA,NA
"484","OPV","off-shore patrol vessel",1
"485","OSUS",NA,NA
"486","OTH-B","over-the-horizon backscatter (radar)",1
"487","other",NA,NA
"488","PARCS",NA,NA
"489","Patrol",NA,NA
"490","Patrol Boat",NA,NA
"491","Patrol Craft",NA,NA
"492","Patrol Vessel",NA,NA
"493","PAVE PAWS",NA,NA
"494","PAX",NA,NA
"495","PB","patrol boat",1
"496","PB/PBF",NA,NA
"497","PB/PBR",NA,NA
"498","PBC","patrol boat coastal",1
"499","PBF","patrol boat fast",1
"500","PBFG",NA,NA
"501","PBFM",NA,NA
"502","PBFT",NA,NA
"503","PBG","patrol boat with AShM",1
"504","PBI","patrol boat inshore",1
"505","PBO","patrol boat offshore",1
"506","PBR","patrol boat riverine",1
"507","PBT","patrol boat with torpedo",1
"508","PC","patrol craft",1
"509","PCC","patrol craft coastal",1
"510","PCF","patrol craft fast",1
"511","PCF/PCI",NA,NA
"512","PCFG",NA,NA
"513","PCFGM",NA,NA
"514","PCFT",NA,NA
"515","PCG","patrol craft guided missile",1
"516","PCGF",NA,NA
"517","PCGM",NA,NA
"518","PCGT",NA,NA
"519","PCH","patrol craft with hangar",1
"520","PCI","patrol craft inshore",1
"521","PCM","patrol craft missile",1
"522","PCMT",NA,NA
"523","PCO","patrol craft offshore",1
"524","PCOH",NA,NA
"525","PCR","patrol craft riverine",1
"526","PCT","patrol craft torpedo",1
"527","PFB","fast patrol boat",1
"528","PFC","fast patrol craft coastal",1
"529","PFG",NA,NA
"530","PFI","fast patrol craft inshore",1
"531","PFI/PCI",NA,NA
"532","PFM","fast patrol craft, SSM",1
"533","PFO","fast patrol craft ocean",1
"534","PFT","fast patrol craft, torpedo",1
"535","PG","patrol gunboat",1
"536","PGH","patrol gunboat hydrofoil",1
"537","PGM","precision-guided munitions",1
"538","PH","patrol hydrofoil with AShM",1
"539","Phased Array Radar",NA,NA
"540","PHG","patrol hydrofoil with AShM",1
"541","PHI",NA,NA
"542","PHM","patrol hydrofoil with SSM, AShM torpedo, or SAM",1
"543","PHT","patrol hydrofoil with torpedo",1
"544","pollution control",NA,NA
"545","PSO","offshore patrol vessel over 60 metres",1
"546","PSOH","offshore patrol vessel over 60 metres with helicopter capability",1
"547","PT",NA,NA
"548","PTF","semi-submersible vessel",1
"549","PTG","guided missile patrol craft",1
"550","radar",NA,NA
"551","radar pickets",NA,NA
"552","RANGE INST",NA,NA
"553","RECCE",NA,NA
"554","RECCE/AIFV/APC",NA,NA
"555","RECCE/ATK",NA,NA
"556","RECCE/ECM",NA,NA
"557","RECCE/TPT",NA,NA
"558","RECON",NA,NA
"559","recon-surveil",NA,NA
"560","repair",NA,NA
"561","repair/salvage",NA,NA
"562","research",NA,NA
"563","river",NA,NA
"564","River",NA,NA
"565","river patrol",NA,NA
"566","RoRo",NA,NA
"567","RRC","rapid raiding craft",1
"568","RY","royal yacht",1
"569","SAGE",NA,NA
"570","salvage",NA,NA
"571","SAM","surface-to-air missile",1
"572","SAM RADARS",NA,NA
"573","SAM-associated short-range",NA,NA
"574","SAR","search and rescue",1
"575","SAR/COMMS",NA,NA
"576","SAR/LIAISON",NA,NA
"577","SAR/RECCE",NA,NA
"578","SAR/TPT",NA,NA
"579","SAR/TPT/TRG",NA,NA
"580","SAR/TRG",NA,NA
"581","SAR/TRG/LIAISON",NA,NA
"582","satellites",NA,NA
"583","SCOUT",NA,NA
"584","SDV","swimmer delivery vehicles",1
"585","SEAD","suppression of enemy air defence",1
"586","search, surveillance, target acquisition",NA,NA
"587","SES","surface-effect ship",1
"588","SES PCI (trials)",NA,NA
"589","SIGINT","signals intelligence",1
"590","SLBM","submarine-launched ballistic-missile",1
"591","SLCM","submarine-launched cruise missile",1
"592","Small Patrol",NA,NA
"593","Small Patrol, River, and Landing Craft",NA,NA
"594","SOSUS",NA,NA
"595","SP","self-propelled",1
"596","SP/MOR",NA,NA
"597","SP/STATIC",NA,NA
"598","SP/TOWED",NA,NA
"599","SPAAGM","Self-propelled anti-aircraft gun and missile system",1
"600","spacetrack system",NA,NA
"601","SPADATS",NA,NA
"602","SPEC OPS","special operations",1
"603","special purposes",NA,NA
"604","SPT",NA,NA
"605","SPT/OBS/LIAISON",NA,NA
"606","SPT/SAR",NA,NA
"607","SPT/SPEC",NA,NA
"608","SPT/TKR",NA,NA
"609","SPT/TPT",NA,NA
"610","SPT/TRG",NA,NA
"611","SPT/YDT",NA,NA
"612","SRBM","short-range ballistic-missile",1
"613","SS","diesel submarine",1
"614","SSA","submersible auxiliary support vessel",1
"615","SSAN","submersible auxiliary support vessel (nuclear)",1
"616","SSB","ballistic-missile submarine",1
"617","SSBN","Ballistic missile submarine, nuclear",1
"618","SSC","coastal submarine",1
"619","SSG","guided missile submarine",1
"620","SSGN","nuclear-powered guided missile submarine",1
"621","SSI","inshore submarine",1
"622","SSK","attack submarine with ASW capability (hunter-killer)",1
"623","SSM","surface-to-surface missile",1
"624","SSM/SAM",NA,NA
"625","SSN","nuclear-fuelled submarine",1
"626","SSQ",NA,NA
"627","SSQN",NA,NA
"628","SSW","midget submarine",1
"629","STATIC",NA,NA
"630","STATIC/SHELTER",NA,NA
"631","STIKE/FGA",NA,NA
"632","STK/RECCE",NA,NA
"633","STRIKE",NA,NA
"634","STRIKE/FGA",NA,NA
"635","submarine chasers",NA,NA
"636","supply",NA,NA
"637","Supply",NA,NA
"638","SURV","surveillance",1
"639","SURV/SIGINT",NA,NA
"640","Survey",NA,NA
"641","survey/TRG",NA,NA
"642","SYSTEMS",NA,NA
"643","T-ACS",NA,NA
"644","T-AFS","combat stores ship",1
"645","T-AG",NA,NA
"646","T-AGF",NA,NA
"647","T-AGM",NA,NA
"648","T-AGOS",NA,NA
"649","T-AGS",NA,NA
"650","T-AH","hospital ship",1
"651","T-AK",NA,NA
"652","T-AKEH",NA,NA
"653","T-AKR",NA,NA
"654","T-AO",NA,NA
"655","T-AOE/RAS",NA,NA
"656","T-AOT","transport oiler",1
"657","T-AP",NA,NA
"658","T-ARC",NA,NA
"659","T-AVB","maintenance aviation",1
"660","TAC",NA,NA
"661","TAC/FTR",NA,NA
"662","TAC/TPT",NA,NA
"663","TAC/TRG",NA,NA
"664","tanker",NA,NA
"665","tankers",NA,NA
"666","TAO-T",NA,NA
"667","TEST",NA,NA
"668","TK",NA,NA
"669","TKR",NA,NA
"670","TKR/CGO",NA,NA
"671","TKR/TPT",NA,NA
"672","torpedo",NA,NA
"673","Torpedo Boat",NA,NA
"674","TOW","tube launched optically wire guided",1
"675","TOWED",NA,NA
"676","TPS",NA,NA
"677","TPS-43G",NA,NA
"678","TPT",NA,NA
"679","TPT/ECM",NA,NA
"680","TPT/LIAISON",NA,NA
"681","TPT/MR",NA,NA
"682","TPT/OCU",NA,NA
"683","TPT/SAR",NA,NA
"684","TPT/TKR",NA,NA
"685","TPT/TKR/RECCE",NA,NA
"686","TPT/TRG",NA,NA
"687","TPT/TRG/SAR",NA,NA
"688","TPT/UTL",NA,NA
"689","TPT/VIP",NA,NA
"690","TRG","training",1
"691","TRG/ATK",NA,NA
"692","TRG/COIN",NA,NA
"693","TRG/FTR",NA,NA
"694","TRG/LIAISON",NA,NA
"695","TRG/Liason",NA,NA
"696","TRG/MISC",NA,NA
"697","TRG/OCU",NA,NA
"698","TRG/SPT",NA,NA
"699","TRG/TPT",NA,NA
"700","TRG/TRG",NA,NA
"701","trial",NA,NA
"702","TRIALS",NA,NA
"703","trials/research",NA,NA
"704","TRP",NA,NA
"705","TRV","torpedo recovery vehicle",1
"706","TT","torpedo tube",1
"707","TUAV",NA,NA
"708","tug",NA,NA
"709","TUGS",NA,NA
"710","TV-guided",NA,NA
"711","UAUC",NA,NA
"712","UCAC","utility craft air cushioned",1
"713","UTL",NA,NA
"714","UTL/LIAISON",NA,NA
"715","UTL/SAR",NA,NA
"716","UTL/SPT",NA,NA
"717","UTL/TPT",NA,NA
"718","UTL/TRG",NA,NA
"719","UTL/TRIALS",NA,NA
"720","UUV","unmanned undersea vehicle",1
"721","VDT","diving tender",1
"722","VIP","very important person (tpt)",1
"723","VLB","vehicle launched bridge",1
"724","VLCC",NA,NA
"725","VTB","harbour tug",1
"726","WEATHER",NA,NA
"727","WLI",NA,NA
"728","WLIC","inland construction tenders",1
"729","WLM",NA,NA
"730","WLR",NA,NA
"731","WTGB","Icebreaker tugs",1
"732","YAC","royal yacht",1
"733","YAG","yard craft, miscellaneous",1
"734","YD",NA,NA
"735","YDG","degaussing",1
"736","YDT","diving tender",1
"737","YFB","ferry boat",1
"738","YFD",NA,NA
"739","YFL","launch",1
"740","YFRT","range support tenders",1
"741","YFT",NA,NA
"742","YFU",NA,NA
"743","YG",NA,NA
"744","YGS",NA,NA
"745","YM",NA,NA
"746","YNT",NA,NA
"747","YO",NA,NA
"748","YP","yard patrol craft",1
"749","YPB",NA,NA
"750","YPC","oil spill response vessel",1
"751","YPL",NA,NA
"752","YPT","torpedo recovery vessel",1
"753","YT",NA,NA
"754","YTB","harbour tug",1
"755","YTL","light harbour tug",1
"756","YTL/YTM",NA,NA
"757","YTM","medium harbour tug",1
"758","YTR","firefighting vessel",1
"759","YTT","torpedo trials craft",1
"760","YW",NA,NA
"761","YY","general yard craft",1
