"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"1054","kazakhstan","2014","navy",NA,"logistics and support",NA,"AGS",NA,"Zhaik","1"
"1055","kazakhstan","2014","air force",NA,"aircraft",NA,"FTR",NA,"MiG-29 Fulcrum","12"
"1056","kazakhstan","2014","air force",NA,"aircraft",NA,"FTR",NA,"MiG-29UB","2"
"1057","kazakhstan","2014","air force",NA,"aircraft",NA,"FTR",NA,"MiG-31/MiG-31BM Foxhound","41"
"1058","kazakhstan","2014","air force",NA,"aircraft",NA,"ATK",NA,"Su-25 Frogfoot","12"
"1059","kazakhstan","2014","air force",NA,"aircraft",NA,"ATK",NA,"Su-25UB Frogfoot","2"
"1060","kazakhstan","2014","air force",NA,"aircraft",NA,"ISR",NA,"An-30 Clank","1"
"1061","kazakhstan","2014","air force",NA,"aircraft",NA,"TPT","medium-range","An-12 Cub","2"
"1062","kazakhstan","2014","air force",NA,"aircraft",NA,"TPT","light","An-26 Curl","6"
"1063","kazakhstan","2014","air force",NA,"aircraft",NA,"TPT","light","An-72 Coaler","2"
"1064","kazakhstan","2014","air force",NA,"aircraft",NA,"TPT","light","C-295","2"
"1065","kazakhstan","2014","air force",NA,"aircraft",NA,"TPT","light","Tu-134 Crusty","2"
"1066","kazakhstan","2014","air force",NA,"aircraft",NA,"TPT","PAX","Tu-154 Careless","1"
"1067","kazakhstan","2014","air force",NA,"aircraft",NA,"TRG",NA,"L-39 Albatros","17"
"1068","kazakhstan","2014","air force",NA,"helicopters",NA,"ATK",NA,"Mi-24V Hind","40"
"1069","kazakhstan","2014","air force",NA,"helicopters",NA,"MRH",NA,"Mi-17V-5 Hip","20"
"1070","kazakhstan","2014","air force",NA,"helicopters",NA,"TPT","heavy","Mi-26 Halo","2"
"1071","kazakhstan","2014","air force",NA,"helicopters",NA,"TPT","medium","Mi-8 Hip","50"
"1072","kazakhstan","2014","air force",NA,"helicopters",NA,"TPT","light","Bell-205 (UH-1H)","6"
"1073","kazakhstan","2014","air force",NA,"helicopters",NA,"TPT","light","EC145","6"
"1074","kazakhstan","2014","air force",NA,"air defence",NA,"SAM",NA,"2K12 Kub (SA-6 Gainful)","20"
"1075","kazakhstan","2014","air force",NA,"air defence",NA,"SAM",NA,"2K11 Krug (SA-4 Ganef)/S-200 Angara (SA-5 Gammon)","27"
"1076","kazakhstan","2014","air force",NA,"surface-to-surface missile launchers","missiles","TOWED","","S-75M Volkhov (SA-2 Guideline)","100"
"1077","kazakhstan","2014","paramilitary","state border protection forces","helicopters",NA,"TPT","medium","Mi-171","1"
